source,correction,domain
        connect: Присоеденить аккаунт к Redmine,        connect: Присоединить аккаунт к Redmine,GitHubTypoCorpusRu
"При работе с React вы можете понимать `render()` как функцию, которая создаёт дерево React-элементов в какой-то момент времени. При последующем обновлении состояния или пропсов функция `render()` вернёт новое дерево React-элементов. Тепереь React должен понять, как эффективно обновить UI, чтобы он совпадал с новейшим из деревьев.","При работе с React вы можете понимать `render()` как функцию, которая создаёт дерево React-элементов в какой-то момент времени. При последующем обновлении состояния или пропсов функция `render()` вернёт новое дерево React-элементов. Теперь React должен понять, как эффективно обновить UI, чтобы он совпадал с новейшим из деревьев.",GitHubTypoCorpusRu
choose_country: Выберете страну,choose_country: Выберите страну,GitHubTypoCorpusRu
"Имя папки, в которой будут лежать картинки проекта. Чаще всего именна эта папка имеет различные значения, поэтому название этой директории опционально.","Имя папки, в которой будут лежать картинки проекта. Чаще всего именно эта папка имеет различные значения, поэтому название этой директории опционально.",GitHubTypoCorpusRu
"Стандартное Rails приложение зависит от несольких гемов, а именно:","Стандартное Rails приложение зависит от нескольких гемов, а именно:",GitHubTypoCorpusRu
"2. Если соотвествие в hosts не найдено, операционная система должна проверить локальный кэш DNS. Если в локальном кэше соответствие найдено, то разрешение доменного имени завершается.","2. Если соответствие в hosts не найдено, операционная система должна проверить локальный кэш DNS. Если в локальном кэше соответствие найдено, то разрешение доменного имени завершается.",GitHubTypoCorpusRu
состоянию. [Документация по PHPUnit](http://www.phpunit.de/manual/current/en/fixtures.html),состоянию. [Документация по PHPUnit](http://phpunit.de/manual/3.8/en/fixtures.html),GitHubTypoCorpusRu
"Здесь 4.1 - имя бранча (`master`, `4.1`, 4.0`), а facades.md - название файла.","Здесь 4.1 - имя бранча (`master`, `4.1`, `4.0`), а facades.md - название файла.",GitHubTypoCorpusRu
"При разработке удалённого пресета настроек, может часто требоваться отправлять пресет в удалённый репозиторий для его проверки. Для упрощения разработки можно использовать локальные пресеты напрямую. Vue CLI будет загружать локальные пресеты, если путь в значении `--preset` будет относительным или абсолютным, или заканчиваться на `.json`:","При разработке удалённого пресета настроек может часто требоваться отправлять пресет в удалённый репозиторий для его проверки. Для упрощения разработки можно использовать локальные пресеты напрямую. Vue CLI будет загружать локальные пресеты, если путь в значении `--preset` будет относительным или абсолютным, или заканчиваться на `.json`:",GitHubTypoCorpusRu
* `VUE_CLI_MODERN_BUILD`: значением true будет если текущая конфигурация для современной сборки. В противном случае это сборка для старых браузеров.,"* `VUE_CLI_MODERN_BUILD`: значение true будет, если текущая конфигурация для современной сборки. В противном случае это сборка для старых браузеров.",GitHubTypoCorpusRu
Ни как! Попытки слить базу приведут к бану Вашего аккаунта и бану всех приглашенных Вами и далее по цепочке. Ни какие заслуги не снимут бан.,Никак! Попытки слить базу приведут к бану Вашего аккаунта и бану всех приглашенных Вами и далее по цепочке. Никакие заслуги не снимут бан.,GitHubTypoCorpusRu
Все сущности шаблона можно разжелить на две группы:,Все сущности шаблона можно разделить на две группы:,GitHubTypoCorpusRu
"Я подготовил метод __count\_plays__ для вас. Посморим, сможете ли","Я подготовил метод __count\_plays__ для вас. Посмотрим, сможете ли",GitHubTypoCorpusRu
С помощью одной лишь комманды мы симулируем добавление трёх коммитов в ветку `foo` на удалённом репозитории,С помощью одной лишь команды мы симулируем добавление трёх коммитов в ветку `foo` на удалённом репозитории,GitHubTypoCorpusRu
"      city_name: [Москва, Владимир, Санкт-Петербург, Новосибирск, Екатеринбург, Нижний Новгород, Самара, Казань, Омск, Челябинск, Ростов-на-Дону, Уфа, Волгоград, Пермь, Красноярск, Воронеж, Саратов, Краснодар, Тольятти, Ижевск, Барнаул, Ульяновск, Тюмень, Иркутск, Владивосток, Ярославль, Хабаровск, Махачкала, Оренбург, Новокузнецк, Томск, Кемерово, Рязань, Астрахань, Пенза, Липецк, Тула, Киров, Чебоксары, Курск, Брянскm Магнитогорск, Иваново, Тверь, Ставрополь, Белгород, Сочи]","      city_name: [Москва, Владимир, Санкт-Петербург, Новосибирск, Екатеринбург, Нижний Новгород, Самара, Казань, Омск, Челябинск, Ростов-на-Дону, Уфа, Волгоград, Пермь, Красноярск, Воронеж, Саратов, Краснодар, Тольятти, Ижевск, Барнаул, Ульяновск, Тюмень, Иркутск, Владивосток, Ярославль, Хабаровск, Махачкала, Оренбург, Новокузнецк, Томск, Кемерово, Рязань, Астрахань, Пенза, Липецк, Тула, Киров, Чебоксары, Курск, Брянск, Магнитогорск, Иваново, Тверь, Ставрополь, Белгород, Сочи]",GitHubTypoCorpusRu
"Во время конфигурации инжектора провайдеры могут быть внедрены в качестве зависипостей, но как только","Во время конфигурации инжектора провайдеры могут быть внедрены в качестве зависимостей, но как только",GitHubTypoCorpusRu
"  'Looks like this is first time you are using {0} account to sign in to {1}' => 'Похоже, что вы в первый раз испольуете {1}, чтобы войти на {0}',","  'Looks like this is first time you are using {0} account to sign in to {1}' => 'Похоже, что вы в первый раз используете {1}, чтобы войти на {0}',",GitHubTypoCorpusRu
> Note: Этот раздел находиться в стадии разработки.,> Note: Этот раздел находится в стадии разработки.,GitHubTypoCorpusRu
"Когда простой JavaScript-объект передаётся в экземпляр Vue в качестве опции `data`, Vue обходит все его поля и превращает их в пары геттер/сеттер, используя [Object.defineProperty](https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Object/defineProperty). Эта возможность появилась в JavaScript только начиная с версии ES5, и в более ранних версиях её эмулировать не получится — по этой-то причине Vue и не поддерживает IE8 и ниже.","Когда простой JavaScript-объект передаётся в экземпляр Vue в качестве опции `data`, Vue обходит все его поля и превращает их в пары геттер/сеттер, используя [Object.defineProperty](https://developer.mozilla.org/ru/docs/Web/JavaScript/Reference/Global_Objects/Object/defineProperty). Эта возможность появилась в JavaScript только начиная с версии ES5, и в более ранних версиях её эмулировать не получится — по этой-то причине Vue и не поддерживает IE8 и ниже.",GitHubTypoCorpusRu
"При запуске ``initialize_database.sh``, будьте остаровжны и вручную перепроверьте, что все таблицы корректно создались.","При запуске ``initialize_database.sh``, будьте осторожны и вручную перепроверьте, что все таблицы корректно создались.",GitHubTypoCorpusRu
"Давайте посмотрим на метод `SetColor`. Его ресивером является указатель на Box. Да, можно использовать `*Box` в качесве ресивера. Почему мы использовали здесь указатель? Потому что в этом методе мы хотим изменить цвет коробки (Box). Если бы мы не использовали указатель, метод бы изменил цвет лишь у копии Box.","Давайте посмотрим на метод `SetColor`. Его ресивером является указатель на Box. Да, можно использовать `*Box` в качестве ресивера. Почему мы использовали здесь указатель? Потому что в этом методе мы хотим изменить цвет коробки (Box). Если бы мы не использовали указатель, метод бы изменил цвет лишь у копии Box.",GitHubTypoCorpusRu
"Существует несколько режимов (**MODE**): **on**, **of**, **auto**.","Существует несколько режимов (**MODE**): **on**, **off**, **auto**.",GitHubTypoCorpusRu
"В хорошо-организованных приложения, контроллеры обычно очень тонкие, и содержат лишь несколько строк кода.",В хорошо организованных приложениях контроллеры обычно очень тонкие и содержат лишь несколько строк кода.,GitHubTypoCorpusRu
"                      ""Хорошо, мы скачали изменения с удалённого репозитория и включили их в наши локальные наработки. Всё это замечатльно, но, как нам поделиться _своими_ наработками и изменениями с другими участниками проекта?"",","                      ""Хорошо, мы скачали изменения с удалённого репозитория и включили их в наши локальные наработки. Всё это замечательно, но, как нам поделиться _своими_ наработками и изменениями с другими участниками проекта?"",",GitHubTypoCorpusRu
"По умолчанию, NPM-пакет экспортирует сборку **runtime-only**. Для использования standalone-сборки, добавиьте в свою конфигурацию Webpack следующее:","По умолчанию, NPM-пакет экспортирует сборку **runtime-only**. Для использования standalone-сборки, добавьте в свою конфигурацию Webpack следующее:",GitHubTypoCorpusRu
"        <p class=""team-image__sub-title"">У нас большой и уютный офис, дружый коллектив и современные технологии в работе</p>","        <p class=""team-image__sub-title"">У нас большой и уютный офис, дружный коллектив и современные технологии в работе</p>",GitHubTypoCorpusRu
Класс также можно предваоить префиксами `language-` или `lang-`.,Класс также можно предварить префиксами `language-` или `lang-`.,GitHubTypoCorpusRu
"- Если ClickHouse успешно обрабатывает атрибут в соотвествии с указаным типом [типы данных атрибутов](../dicts/external_dicts_dict_structure.md#ext_dict_structure-attributes), функция возвращает значение атрибута словаря для заданного `id_expr`.","- Если ClickHouse успешно обрабатывает атрибут в соотвествии с указаным [типом данных атрибута](../dicts/external_dicts_dict_structure.md#ext_dict_structure-attributes), функция возвращает значение атрибута словаря для заданного `id_expr`.",GitHubTypoCorpusRu
"*Хуки* -- новиника в React 16.8, которая позволяет использовать состояние и другие возможности React без написания классов.","*Хуки* -- новинка в React 16.8, которая позволяет использовать состояние и другие возможности React без написания классов.",GitHubTypoCorpusRu
"Настройте следующие параметры в protocal.json каждого узла. Убедитесь в том, что настройки в каждом файле единообразны.","Настройте следующие параметры в protocol.json каждого узла. Убедитесь в том, что настройки в каждом файле единообразны.",GitHubTypoCorpusRu
"Как было описано выше создание контейнера может кидать исключения, поэтому эти исключения надо поймать.","Как было описано выше, создание контейнера может кидать исключения, поэтому эти исключения надо поймать.",GitHubTypoCorpusRu
"		'Your browser does not allow the paste command. Please use the keyboard shortcut Ctrl/Cmd-V': 'Ваш браузер не позволяет сократить команду. Пожалуйста, используйте сочетание клавиш Ctrl / Cmd-V',","		'Your browser does not allow the paste command. Please use the keyboard shortcut Ctrl/Cmd-V': 'Ваш браузер не позволяет выполнять эту команду. Пожалуйста, используйте сочетание клавиш Ctrl / Cmd-V',",GitHubTypoCorpusRu
## Технический требования семинаров,## Технические требования семинаров,GitHubTypoCorpusRu
"Если вы используете один из Babel-плагинов по преобразованию кода, вроде [transform-class-properties](https://babeljs.io/docs/plugins/transform-class-properties/), то можете объявить `defaultProps` как статическое свойство класса (для компонента-наследника от `React.Component`). Этот синтаксис еще не утвержден, так что для его работы в браузере нужна компиляция. Подробнее смотрите в [предложении о полях класса](https://github.com/tc39/proposal-class-fields).","Если вы используете один из Babel-плагинов по преобразованию кода, вроде [transform-class-properties](https://babeljs.io/docs/plugins/transform-class-properties/), то можете объявить `defaultProps` как статическое свойство класса (для компонента-наследника от `React.Component`). Этот синтаксис ещё не утвержден, так что для его работы в браузере нужна компиляция. Подробнее смотрите в [предложении о полях класса](https://github.com/tc39/proposal-class-fields).",GitHubTypoCorpusRu
"Создаёт проксирующие вычисляемые свойства компонента, возвращающие поддерево state'а хранилища Vuex [Подробнее](../guide/state.md#вспомогательная-функция-mapstate)","Создаёт проксирующие вычисляемые свойства компонента, возвращающие поддерево state'а хранилища Vuex [Подробнее](../guide/state.md#вспомогатеnьная-функция-mapstate)",GitHubTypoCorpusRu
"- Если ClickHouse успешно обрабатывает атрибут в соотвествии с указаным [типом данных атрибута](../dicts/external_dicts_dict_structure.md#ext_dict_structure-attributes), функция возвращает значение атрибута словаря с заданым ключом `id_expr`.","- Если ClickHouse успешно обрабатывает атрибут в соотвествии с указаным [типом данных](../dicts/external_dicts_dict_structure.md#ext_dict_structure-attributes),то функция возвращает значение для заданного ключа `id_expr`.",GitHubTypoCorpusRu
perfTest.configuration.safeDistribution.help=\ud30c\uc77c\uc744 \uc5d0\uc774\uc804\ud2b8\uc5d0 \ub290\ub9ac\uae34 \ud558\ub098 \uc624\ub958\uc5c6\uc774 \uc804\ub2ec\ud558\uace0 \uc2f6\ub2e4\uba74&lt;br/&gt;\uc5ec\uae30\ub97c \ud074\ub9ad\ud574 \uc8fc\uc138\uc694.&lt;br/&gt;\ubbf8\uc120\ud0dd\uc2dc \ud14c\uc2a4\ud2b8\uac00 \uc2e4\ud328\ud560 \uac00\ub2a5\uc131\uc774 \uc788\uc2b5\ub2c8\ub2e4.,perfTest.configuration.safeDistribution.help=\ud30c\uc77c\uc744 \uc5d0\uc774\uc804\ud2b8\uc5d0 \ub290\ub9ac\uae34 \ud558\ub098 \uc624\ub958\uc5c6\uc774 \uc804\ub2ec\ud558\uace0 \uc2f6\ub2e4\uba74 \uc5ec\uae30\ub97c \ud074\ub9ad\ud574 \uc8fc\uc138\uc694.&lt;br/&gt;\ubbf8\uc120\ud0dd\uc2dc \ud14c\uc2a4\ud2b8\uac00 \uc2e4\ud328\ud560 \uac00\ub2a5\uc131\uc774 \uc788\uc2b5\ub2c8\ub2e4.,GitHubTypoCorpusRu
Для разработки на Yii потребуется общее понимание ООП так как фреймворк полностью следует это парадигме. Также следует,Для разработки на Yii потребуется общее понимание ООП так как фреймворк полностью следует этой парадигме. Также следует,GitHubTypoCorpusRu
"> **Примечание:** ЕСли вы хотите, что бы все данные, хранящиеся в сессиях, были зашифрованы, установите параметр `encrypt` в значение `true` в настройках.","> **Примечание:** Если вы хотите, что бы все данные, хранящиеся в сессиях, были зашифрованы, установите параметр `encrypt` в значение `true` в настройках.",GitHubTypoCorpusRu
"Я вам гарантирую, что вы будете часто забывать поставить двойное равенстсво.","Я вам гарантирую, что вы будете часто забывать поставить двойное равенство.",GitHubTypoCorpusRu
"Например, если имеется бибилиотека jQuery с множеством модулей, хранящаяся в `lib/assets/library_name`, файл `lib/assets/library_name/index.js` служит манифестом для всех файлов в этой библиотеке. Этот файл может включать список всех требуемых файлов в нужном порядке, или просто директиву `require_tree`.","Например, если имеется библиотека jQuery с множеством модулей, хранящаяся в `lib/assets/library_name`, файл `lib/assets/library_name/index.js` служит манифестом для всех файлов в этой библиотеке. Этот файл может включать список всех требуемых файлов в нужном порядке, или просто директиву `require_tree`.",GitHubTypoCorpusRu
"При помощи `.htaccess` Апача или правил nginx или другого веб-сервера, все запросы передаются файлу `public/index.php`. Отсюда Laravel начинает процесс обработки запроса и здесь же он возвращает ответ пользователю.","При помощи `.htaccess` Апача или правил Nginx или другого веб-сервера, все запросы передаются файлу `public/index.php`. Отсюда Laravel начинает процесс обработки запроса и здесь же он возвращает ответ пользователю.",GitHubTypoCorpusRu
"> `React.Children.toArray()` изменяет ключи, чтобы сохранить семантику вложенных массивов, когда делает плоским списков дочерних элементов. То есть `toArray` ставит префикс перед каждым ключом в возвращаемом массиве, так что ключ каждого элемента находится в области входного массива, содержащего его.","> `React.Children.toArray()` изменяет ключи, чтобы сохранить семантику вложенных массивов, когда делает плоским список дочерних элементов. То есть `toArray` ставит префикс перед каждым ключом в возвращаемом массиве, так что ключ каждого элемента находится в области входного массива, содержащего его.",GitHubTypoCorpusRu
"              ""Итек, в этом уровне нужно достичь того же эффекта, но без использования `rebase -i`. Остальное – по усмотрению."",","              ""Итак, в этом уровне нужно достичь того же эффекта, но без использования `rebase -i`. Остальное – по усмотрению."",",GitHubTypoCorpusRu
Давайте сохраним наши номера лотейного билета вот так: ,Давайте сохраним наши номера лотерейного билета вот так:,GitHubTypoCorpusRu
`databse/sql` определяет высокоуровневые методы для более удобной работы с базами данных (выше чем драйвера) и предлагает вам реализовать пул соединений.,`database/sql` определяет высокоуровневые методы для более удобной работы с базами данных (выше чем драйвера) и предлагает вам реализовать пул соединений.,GitHubTypoCorpusRu
"Есть технические причины для этого ограничения — оно позволяет устранить целый класс краевых случаев в системе учёта зависимостей, а так же позволяет Vue лучше взаимодействовать с системами проверки типов. Но кроме того существует ещё и важный момент с точки зрения поддерживаемости кода: объект `data` похож на схему для состояния вашего компонента. Явное объявление всех реактивных свойств делает код компонента проще для понимания при последующем прочтении, или для стороннего разработчика.","Есть технические причины для этого ограничения — оно позволяет устранить целый класс краевых случаев в системе учёта зависимостей, а так же позволяет Vue лучше взаимодействовать с системами проверки типов. Но, кроме того, существует ещё и важный момент с точки зрения поддерживаемости кода: объект `data` похож на схему для состояния вашего компонента. Явное объявление всех реактивных свойств делает код компонента проще для понимания при последующем прочтении или для стороннего разработчика.",GitHubTypoCorpusRu
"        // Без указания атрибута `key`, React выдаст предупреждение об его отсутсвии","        // Без указания атрибута `key`, React выдаст предупреждение об его отсутствии",GitHubTypoCorpusRu
"    <string name=""these_words_are"">Эти слова &mdash; резервная копия всех ваших приватных ключей в этом кошельке.</string>","    <string name=""these_words_are"">Эти слова &#8211; резервная копия всех ваших приватных ключей в этом кошельке.</string>",GitHubTypoCorpusRu
Не каждое приложение должно быть одностраничным (SPA). Vue CLI поддерживает создание много-страничных приложений с помощью [опции `pages` в `vue.config.js`](../config/#pages). Код приложения будет эффективно переиспользоваться между его частями для оптимизации скорости загрузки.,Не каждое приложение должно быть одностраничным (SPA). Vue CLI поддерживает создание многостраничных приложений с помощью [опции `pages` в `vue.config.js`](../config/#pages). Код приложения будет эффективно переиспользоваться между его частями для оптимизации скорости загрузки.,GitHubTypoCorpusRu
"Оп! Мы закачали наши наработки на ветку `master` нашего удалённого репозитория. При том, что наша локальная ветка называется асболютно по другому.","Оп! Мы закачали наши наработки на ветку `master` нашего удалённого репозитория. При том, что наша локальная ветка называется абсолютно по-другому.",GitHubTypoCorpusRu
Проверяет наличие прикреплении,Проверяет наличие прикреплений,GitHubTypoCorpusRu
"После того как это завершено процесс повторяется снова для другой фичи или улучшения. Если существующая фича должна быть изменена, то и тесты","После того как это завершено, процесс повторяется снова для другой фичи или улучшения. Если существующая фича должна быть изменена, то и тесты также должны быть изменены.",GitHubTypoCorpusRu
"как простое значение, так и массив) и, затем используются для генерации хеша","как простое значение, так и массив) и затем используются для генерации хеша",GitHubTypoCorpusRu
### Максимизируйте надежность с помощью быстрого запуска и корректного завершение работы,### Максимизируйте надежность с помощью быстрого запуска и корректного завершения работы,GitHubTypoCorpusRu
"$L['cfg_max_options_polls'] = array('Максимальное количество вариантов ответа', 'Лишние варианты будут автоматически удаляться при привышении лимита');	// New in 0.0.2","$L['cfg_max_options_polls'] = array('Максимальное количество вариантов ответа', 'Лишние варианты будут автоматически удаляться при превышении лимита');	// New in 0.0.2",GitHubTypoCorpusRu
"Cпасибо, что решили помочь проекту и внести свой вклад в его развитие.","Спасибо, что решили помочь проекту и внести свой вклад в его развитие.",GitHubTypoCorpusRu
"		[...]int{416188, 191483, 185232, 179560, 175233, 171263, 169908, 169758, 169712, 169712},","		[...]int{407330, 187598, 180361, 172974, 169160, 163476, 160936, 160506, 160295, 160295},",GitHubTypoCorpusRu
"  ""app.components.HomePage.welcomeBlock.content.again"": ""Надеемся, что вы делаете успехи в вашем проекте... Следите с последними новостями о Strapi. Мы стараемся изо всех сил, чтобы улучшить продукт основываясь на ваших пожеланиях."",","  ""app.components.HomePage.welcomeBlock.content.again"": ""Надеемся, что вы делаете успехи в вашем проекте... Следите за последними новостями о Strapi. Мы стараемся изо всех сил, чтобы улучшить продукт, основываясь на ваших пожеланиях."",",GitHubTypoCorpusRu
"      ""empty"": ""Отсутстует информация про окружение"",","      ""empty"": ""Отсутствует информация про окружение"",",GitHubTypoCorpusRu
"Говоря про определении контекста (context) для нашей модели, отметим, что контроллер позволяет нам ","Говоря про определение контекста (context) для нашей модели, отметим, что контроллер позволяет нам ",GitHubTypoCorpusRu
"При использовании систем сборки, таких как Webpack или Browserify, режим production определяется по значению `process.env.NODE_ENV` внутри исходного кода Vue. По умолчанию используется режим для разработки. Обе системы сборки предоставляют возможности для переопределения этой переменной — для включения режима production в Vue и удаления всех проверок и предупреждений на этапе сборки. Все шаблоны `vue-cli` уже настроены для вас, но было бы полезно знать, как это делается:","При использовании систем сборки, таких как Webpack или Browserify, режим production определяется по значению `process.env.NODE_ENV` внутри исходного кода Vue. По умолчанию используется режим для разработки. Обе системы сборки предоставляют возможности для переопределения этой переменной — для включения режима production во Vue и удаления всех проверок и предупреждений на этапе сборки. Все шаблоны `vue-cli` уже настроены для вас, но было бы полезно знать, как это делается:",GitHubTypoCorpusRu
"Например, когда мы пишем класс на языке PHP, мы может отлаживать его шаг за шагом или просто использовать `echo` или `die` для проверки, что","Например, когда мы пишем класс на языке PHP, мы можем отлаживать его шаг за шагом или просто использовать `echo` или `die` для проверки, что",GitHubTypoCorpusRu
## Выхов других команд,## Вызов других команд,GitHubTypoCorpusRu
`=` | Оператор присваивания | необходимые  ,|`=` | Оператор присваивания | необходимые|,GitHubTypoCorpusRu
"            // либо стнаница отображается первый раз, либо есть ошибка в данных","            // либо страница отображается первый раз, либо есть ошибка в данных",GitHubTypoCorpusRu
"			Brackets.Расскажите нам, что вы думаете, делитесь идеями или напрямую поддержите проект.","			Brackets. Расскажите нам, что вы думаете, делитесь идеями или напрямую поддержите проект.",GitHubTypoCorpusRu
">`useContext (MyContext)` позволяет только *читать* контекст и подписываться на его изменения. Вам всё ещё нужен `<MyContext.Provider>` выше в дереве, чтобы *предоставить* значение для этого контекста.",">`useContext(MyContext)` позволяет только *читать* контекст и подписываться на его изменения. Вам всё ещё нужен `<MyContext.Provider>` выше в дереве, чтобы *предоставить* значение для этого контекста.",GitHubTypoCorpusRu
"		/// Sample может отсортироваться при получении квантиля, но в этом контексте можно не считаеть это нарушением константности.","		/// Sample может отсортироваться при получении квантиля, но в этом контексте можно не считать это нарушением константности.",GitHubTypoCorpusRu
Опа -- мы скачали `C3` с помощью команды `fetch` и зтем объединяем эти наработки с помощью `git merge o/master`. Теперь наша ветка `master` отображает изменения с удалённого репозитория (в данном случае с репозитория `origin`),Опа -- мы скачали `C3` с помощью команды `fetch` и затем объединяем эти наработки с помощью `git merge o/master`. Теперь наша ветка `master` отображает изменения с удалённого репозитория (в данном случае с репозитория `origin`),GitHubTypoCorpusRu
"Поскольку современные CPU не поддежривают 128-битные числа, операции над Decimal128 эмулируются программно. Decimal128 работает в разы медленней чем Decimal32/Decimal64.","Поскольку современные CPU не поддерживают 128-битные числа, операции над Decimal128 эмулируются программно. Decimal128 работает в разы медленней чем Decimal32/Decimal64.",GitHubTypoCorpusRu
Локальная компиляция позволяет зафиксировать скомпилироанные файлы в управлении версиями и деплоить как обычно.,Локальная компиляция позволяет зафиксировать скомпилированные файлы в управлении версиями и деплоить как обычно.,GitHubTypoCorpusRu
"* Данные о телефоне устанавливаются и сохраняются в *областе видимости* (`$scope`), это происходит","* Данные о телефоне устанавливаются и сохраняются в *области видимости* (`$scope`), это происходит",GitHubTypoCorpusRu
2. Чтобы в ответе получить только заголовок используем ключ `-I`,"2. Чтобы в ответе получить только заголовок, используем ключ `-I`",GitHubTypoCorpusRu
"AuthServer должен удовлетворять API, описанномо далее.","AuthServer должен удовлетворять API, описанному далее.",GitHubTypoCorpusRu
Для запуска действий или совершении мутаций в глобальном пространстве имён нужно добавить `{ root: true }` 3-м аргументом в `dispatch` и `commit`.,Для запуска действий или совершения мутаций в глобальном пространстве имён нужно добавить `{ root: true }` 3-м аргументом в `dispatch` и `commit`.,GitHubTypoCorpusRu
"В документации мы будем часть использовать экземпляр `router` (маршрутизатора). Имейте ввиду, что `this.$router` в точности тоже самое, что и `router`. Причина, по которой мы используем `this.$router` заключается в том, что мы не хотим импортировать маршрутизатор в каждом компонент, в котором потребуется управлять маршрутизацией.","В документации мы будем часто использовать экземпляр `router` (маршрутизатора). Имейте ввиду, что `this.$router` в точности тоже самое, что и `router`. Причина, по которой мы используем `this.$router` заключается в том, что мы не хотим импортировать маршрутизатор в каждом компоненте, в котором потребуется управлять маршрутизацией.",GitHubTypoCorpusRu
"В Laravel уже включены все необходимые миграции для аутентификации, но при самостоятельном создании схемы БД не забудьте про два обязательных поля в таблице `user` (или аналогичной):","В Laravel уже включены все необходимые миграции для создания аутентификации, но при самостоятельном создании схемы БД не забудьте про два обязательных поля в таблице `user` (или аналогичной):",GitHubTypoCorpusRu
В Клевер обычно применяются аккумуляторы *3S*.,В Клевере обычно применяются аккумуляторы *3S*.,GitHubTypoCorpusRu
"- #1021: Использовалис возможности php v5.4, хотя минимальная версия для работы - v5.3 (angel-kulikov)","- #1021: Использовались возможности php v5.4, хотя минимальная версия для работы - v5.3 (angel-kulikov)",GitHubTypoCorpusRu
"Также такая регистрация необходима при краже застрахованного велосипеда. Страховая компания требует номер дела, а также документы подтверждающие владение велоспедом и стоимость украденного имущества.","Также такая регистрация необходима при краже застрахованного велосипеда. Страховая компания требует номер дела, а также документы подтверждающие владение велосипедом и стоимость украденного имущества.",GitHubTypoCorpusRu
"`ReactTestUtils` позволяет легко тестировать React-компоненты в любом тестовом фреймворке на ваш выбор. В Facebook мы используем [Jest](https://facebook.github.io/jest/) для гладкого тестирования JavaScript-кода. Если хотите обучится Jest, ознакомьтесь с [руководством по React](https://jestjs.io/docs/en/tutorial-react).","`ReactTestUtils` позволяет легко тестировать React-компоненты в любом тестовом фреймворке на ваш выбор. В Facebook мы используем [Jest](https://facebook.github.io/jest/) для гладкого тестирования JavaScript-кода. Если хотите обучиться Jest, ознакомьтесь с [руководством по React](https://jestjs.io/docs/en/tutorial-react).",GitHubTypoCorpusRu
